date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2019-01-23,00,5,13,0.0,81,1014,26
2019-01-23,03,5,16,0.0,80,1013,34
2019-01-23,06,5,16,0.0,82,1011,35
2019-01-23,09,6,22,0.0,80,1010,35
2019-01-23,12,9,22,0.0,64,1009,32
2019-01-23,15,12,27,0.0,52,1008,26
2019-01-23,18,12,26,0.0,60,1008,23
2019-01-23,21,10,17,0.0,69,1009,18
2019-01-24,00,8,13,0.0,76,1010,16
2019-01-24,03,7,13,0.0,82,1010,18
2019-01-24,06,7,12,0.0,84,1010,15
2019-01-24,09,8,12,0.0,83,1011,34
2019-01-24,12,10,12,0.0,64,1011,48
2019-01-24,15,13,16,0.0,53,1011,37
2019-01-24,18,11,12,0.0,61,1012,26
2019-01-24,21,11,9,0.0,70,1015,29
2019-01-25,00,11,8,0.0,73,1017,30
2019-01-25,03,10,8,0.0,77,1018,27
2019-01-25,06,8,8,0.0,82,1018,30
2019-01-25,09,9,7,0.0,79,1019,24
2019-01-25,12,11,10,0.0,59,1020,11
2019-01-25,15,13,13,0.0,43,1020,4
2019-01-25,18,12,13,0.0,49,1020,1
2019-01-25,21,9,10,0.0,63,1022,0
2019-01-26,00,5,7,0.0,71,1023,0
2019-01-26,03,3,6,0.0,73,1024,0
2019-01-26,06,1,5,0.0,76,1024,0
2019-01-26,09,1,4,0.0,68,1023,6
2019-01-26,12,7,5,0.0,52,1022,22
2019-01-26,15,12,9,0.0,41,1019,32
2019-01-26,18,12,11,0.0,45,1018,27
2019-01-26,21,8,10,0.0,55,1018,15
2019-01-27,00,5,9,0.0,68,1017,11
2019-01-27,03,4,9,0.0,75,1017,24
2019-01-27,06,4,8,0.0,75,1017,16
2019-01-27,09,3,10,0.0,70,1016,15
2019-01-27,12,8,11,0.0,53,1016,22
2019-01-27,15,11,19,0.0,40,1016,16
2019-01-27,18,10,20,0.0,45,1017,11
2019-01-27,21,8,13,0.0,54,1019,8
2019-01-28,00,4,9,0.0,63,1020,5
